１）男性の統計量,,,,,,,,,,,２）女性の統計量,,,,,,,,,
ID,,N,平均値,S.D.,最小値,最大値,中央値,歪度,尖度,,ID,,N,平均値,S.D.,最小値,最大値,中央値,歪度,尖度
,年齢,327,33.0,11.4,18.0,64.0,31.0,0.760,-0.479,,,年齢,203,32.7,8.2,20.0,58.0,32.0,0.7,0.2
,申告身長,326,171.6,5.7,156.0,189.0,171.2,0.177,0.130,,,申告身長,203,158.9,5.2,148.0,172.0,158.9,0.2,-0.6
,申告体重,326,67.8,9.6,43.0,105.0,67.0,0.594,1.071,,,申告体重,202,52.0,6.6,39.0,80.0,51.0,1.0,3.4
,推定BMI,326,23.0,2.7,15.8,35.6,22.9,0.709,1.935,,,推定BMI,202,20.5,2.3,16.6,32.9,20.4,1.6,5.7
,,,,,,,,,,,,,,,,,,,,
L01,手長：茎突点より,327,189.6,8.1,166.1,210.3,189.1,0.045,-0.077,,L01,手長：茎突点より,203,175.4,7.3,157.0,198.9,174.43,0.373,0.224
L02,手長：手首のしわより,327,183.4,7.7,163.5,203.7,182.9,0.136,-0.002,,L02,手長：手首のしわより,203,169.3,6.9,150.6,191.6,169.06,0.169,0.220
L03,手掌長第１指,327,71.6,3.6,63.0,83.4,71.5,0.366,-0.028,,L03,手掌長第１指,203,65.2,3.3,55.5,74.2,65.03,0.273,0.003
L04,手掌長第２指,327,103.4,4.7,90.4,116.9,103.2,0.186,0.060,,L04,手掌長第２指,203,95.1,4.2,82.7,108.7,94.84,0.087,0.237
L05,手掌長第３指,327,105.6,4.7,92.1,119.7,105.6,0.241,0.208,,L05,手掌長第３指,203,96.5,4.1,84.6,106.8,96.68,0.002,0.077
L06,手掌長第４指,327,99.7,4.6,85.5,113.7,99.7,0.166,0.065,,L06,手掌長第４指,203,90.7,4.0,79.5,100.7,90.99,-0.022,-0.188
L07,手掌長第５指,327,88.2,4.6,73.8,102.4,88.3,0.048,0.203,,L07,手掌長第５指,203,79.7,4.0,68.9,90.4,79.59,-0.002,-0.000
